show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1252,Movie,Dances with Wolves,Kevin Costner,"\"Kevin Costner, Mary McDonnell, Rodney Grant, Graham Greene, Floyd \"\"Red Crow\"\" Westerman",Tantoo Cardinal,Robert Pastorelli,Charles Rocket,Maury Chaykin,"Jimmy Herman\"","United States, United Kingdom","March 1, 2021"
s171,Movie,Rhyme & Reason,Peter Spirer,"\"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean \"\"P. Diddy\"\" Combs",Chuck D.,Desiree Densiti,Dr. Dre,E-40,MC Eiht,Heavy D,Lauryn Hill
s5892,Movie,Beasts of No Nation,Cary Joji Fukunaga,"\"Idris Elba, Abraham Attah, Kurt Egyiawan, Jude Akuwudike, Emmanuel \"\"King Kong\"\" Nii Adom Quaye",Ama K. Abebrese,Kobina Amissah Sam,Francis Weddey,"Richard Pepple\"",United States,"October 16, 2015",2015
s2674,Movie,The Legacy of the Bones,Fernando González Molina,"\"Marta Etura, Carlos Librado \"\"Nene\"\"",Leonardo Sbaraglia,Francesc Orella,Imanol Arias,Benn Northover,Itziar Aizpuru,Patricia López Arnaiz,Alicia Sánchez
s7032,Movie,Hurricane Bianca: From Russia With Hate,Matt Kugelman,"\"Roy Haylock, Rachel Dratch, Brian McCook, D.J. \"\"Shangela\"\" Pierce",Doug Plaut,Cheyenne Jackson,Kristen Johnston,Heather McDonald,Wanda Sykes,"Janeane Garofalo\"",United States
